date,irain,rain,itemp,temp,iwb,wetb,dewpt,vappr,rhum,msl,iwdsp,wdsp,iwddir,wddir,ww,w,sun,vis,clht,clamt
2017-01-07 05:00:00,0,0,0,9.6,0,9,8.3,11,92,1031.5,2,5,2,260,2,11,0,20000,25,7
2017-01-07 06:00:00,0,0,0,9.4,0,8.8,8.2,10.8,92,1031.6,2,7,2,260,2,11,0,20000,22,7
2017-01-07 07:00:00,2,0,0,9.3,0,9,8.7,11.2,96,1031.9,2,7,2,270,50,52,0,16000,22,7
2017-01-07 08:00:00,2,0,0,9.1,0,8.7,8.3,10.9,95,1032.2,2,7,2,270,20,52,0,16000,22,7
2017-01-07 09:00:00,0,0,0,9.3,0,8.9,8.4,11.1,95,1032.6,2,6,2,250,2,52,0,14000,22,8
2017-01-07 10:00:00,0,0,0,9.4,0,9,8.6,11.2,95,1032.6,2,6,2,240,2,11,0,17000,23,8
2017-01-07 11:00:00,0,0,0,9.8,0,9.3,8.8,11.3,93,1032.8,2,6,2,250,2,11,0,20000,23,8
2017-01-07 12:00:00,0,0,0,10,0,9.2,8.4,11,90,1032.5,2,5,2,260,2,52,0,25000,23,8
2017-01-07 13:00:00,0,0,0,10.2,0,9.3,8.3,11,88,1032.2,2,6,2,270,2,11,0.1,30000,20,7
2017-01-07 14:00:00,0,0,0,10.3,0,9.2,8,10.7,86,1031.9,2,6,2,280,2,11,0,30000,20,7
2017-01-07 15:00:00,0,0,0,10.1,0,9.1,8.1,10.8,87,1031.9,2,6,2,280,2,11,0,30000,20,7
2017-01-07 16:00:00,0,0,0,9.2,0,8.5,7.8,10.5,91,1032.1,2,2,2,280,2,11,0,30000,20,7
2017-01-07 17:00:00,0,0,0,9.1,0,8.4,7.7,10.5,91,1032.2,2,1,2,170,2,11,0,25000,30,7
2017-01-07 18:00:00,0,0,0,7.8,0,7.3,6.6,9.8,93,1032.4,2,1,2,150,2,11,0,25000,34,7
2017-01-07 19:00:00,0,0,0,7.9,0,7.6,7.2,10.2,96,1032.4,2,4,2,150,2,11,0,25000,34,7
2017-01-07 20:00:00,0,0,0,8.6,0,8.2,7.7,10.5,94,1032.3,2,4,2,160,2,11,0,20000,34,7
2017-01-07 21:00:00,2,0,0,9.4,0,8.8,8.1,10.8,92,1032.6,2,4,2,220,20,52,0,20000,34,7
2017-01-07 22:00:00,0,0,0,8.7,0,8.4,8,10.8,96,1032.5,2,6,2,240,2,11,0,20000,34,7
2017-01-07 23:00:00,0,0.1,0,8.7,0,8.4,8.1,10.8,96,1032.3,2,5,2,240,20,52,0,20000,30,7
2017-01-08 00:00:00,2,0,0,8.8,0,8.6,8.4,11,97,1032.2,2,6,2,240,50,52,0,4000,5,7
2017-01-08 01:00:00,2,0,0,8.1,0,7.6,7.1,10,93,1032.1,2,7,2,250,50,52,0,9000,7,8
2017-01-08 02:00:00,2,0,0,7.5,0,7.3,7,10.1,97,1032.1,2,9,2,260,50,52,0,7000,4,8
2017-01-08 03:00:00,2,0,0,7.6,0,7.2,6.8,9.8,94,1031.9,2,9,2,260,20,52,0,9000,5,8
2017-01-08 04:00:00,2,0,0,7.8,0,7.4,7,10,94,1031.9,2,8,2,260,50,52,0,9000,6,8
2017-01-08 05:00:00,2,0,0,7.9,0,7.6,7.2,10.2,96,1031.8,2,7,2,260,20,52,0,16000,10,8
2017-01-08 06:00:00,2,0,0,7.8,0,7.6,7.3,10.3,97,1031.7,2,6,2,250,50,52,0,4000,5,8
2017-01-08 07:00:00,2,0,0,7.9,0,7.7,7.5,10.3,97,1031.7,2,7,2,240,20,52,0,15000,7,8
2017-01-08 08:00:00,0,0,0,8.3,0,8,7.7,10.5,96,1031.8,2,7,2,240,2,11,0,25000,8,7
2017-01-08 09:00:00,0,0,0,8.8,0,8.5,8.1,10.9,96,1032,2,6,2,230,2,52,0,25000,5,7
2017-01-08 10:00:00,0,0,0,9.6,0,9.3,9,11.5,96,1032.3,2,3,2,200,2,11,0,25000,5,7
2017-01-08 11:00:00,2,0,0,9.9,0,9.5,9,11.5,95,1032.3,2,6,2,230,20,52,0,25000,5,7
2017-01-08 12:00:00,2,0,0,10,0,9.6,9.1,11.6,95,1031.7,2,10,2,240,20,52,0,20000,5,8
2017-01-08 13:00:00,0,0,0,10.2,0,9.7,9.1,11.6,93,1030.9,2,12,2,250,2,11,0,25000,5,7
2017-01-08 14:00:00,0,0,0,10.5,0,9.7,8.9,11.4,90,1030.3,2,10,2,240,2,11,0.1,25000,8,7
2017-01-08 15:00:00,0,0,0,10.7,0,9.9,9,11.5,90,1030,2,8,2,220,2,11,0,25000,60,6
2017-01-08 16:00:00,0,0,0,10.7,0,9.8,8.9,11.4,89,1029.4,2,8,2,220,2,11,0,30000,60,7
2017-01-08 17:00:00,0,0,0,10.8,0,9.9,9,11.5,89,1029.1,2,8,2,220,2,11,0,30000,35,7
2017-01-08 18:00:00,0,0,0,10.5,0,9.7,8.8,11.4,90,1028.6,2,7,2,210,2,11,0,30000,14,7
2017-01-08 19:00:00,0,0,0,10.3,0,9.6,8.8,11.4,91,1028.2,2,7,2,200,2,11,0,30000,40,7
2017-01-08 20:00:00,0,0,0,10.5,0,9.6,8.7,11.2,88,1027.3,2,8,2,200,2,11,0,30000,25,7
2017-01-08 21:00:00,2,0,0,10.3,0,9.2,8.1,10.7,86,1026.2,2,9,2,200,20,52,0,30000,20,7
2017-01-08 22:00:00,0,0,0,10.1,0,8.8,7.4,10.3,83,1025.1,2,11,2,210,2,11,0,30000,22,7
2017-01-08 23:00:00,0,0,0,9.8,0,8.6,7.3,10.2,84,1024.2,2,12,2,220,2,11,0,30000,24,7
2017-01-09 00:00:00,0,0,0,9.4,0,8,6.3,9.6,81,1022.6,2,16,2,220,2,52,0,30000,17,7
2017-01-09 01:00:00,0,0,0,9.4,0,8.1,6.5,9.8,83,1021.4,2,16,2,220,2,11,0,30000,18,7
2017-01-09 02:00:00,0,0,0,9.4,0,8,6.4,9.6,81,1019.7,2,17,2,210,2,11,0,30000,22,7
2017-01-09 03:00:00,0,0,0,9.4,0,7.9,6.2,9.4,80,1017.8,2,19,2,220,2,11,0,30000,18,7
2017-01-09 04:00:00,0,0.3,0,8.9,0,8,6.9,10,88,1016.4,2,20,2,220,60,62,0,20000,18,7
2017-01-09 05:00:00,0,0.3,0,9.2,0,8.1,6.9,9.9,85,1014.9,2,19,2,210,21,62,0,20000,24,7
2017-01-09 06:00:00,0,0.1,0,9.2,0,8.3,7.4,10.2,88,1013.8,2,20,2,220,60,62,0,20000,24,7
2017-01-09 07:00:00,0,0.9,0,6.2,0,5.8,5.2,8.9,94,1014.8,2,20,2,220,60,62,0,20000,16,7
2017-01-09 08:00:00,0,0.2,0,5.9,0,5.3,4.4,8.4,91,1014.6,2,15,2,250,21,62,0,20000,25,7
2017-01-09 09:00:00,0,0,0,5.7,0,5,4,8.2,89,1014.7,2,12,2,250,1,62,0.2,30000,40,5
2017-01-09 10:00:00,0,0,0,5.7,0,4.9,3.9,8,88,1014.3,2,12,2,240,2,11,0.8,30000,999,2
2017-01-09 11:00:00,0,0,0,6,0,5,3.6,7.9,85,1013.9,2,16,2,250,2,11,1,30000,999,3
2017-01-09 12:00:00,0,0,0,6.9,0,5.4,3.3,7.8,78,1013,2,19,2,260,1,61,1,40000,999,1
2017-01-09 13:00:00,0,0,0,7,0,5.3,3,7.5,75,1012.7,2,20,2,260,2,11,0.9,40000,999,2
2017-01-09 14:00:00,0,0,0,7.1,0,5.3,2.7,7.5,74,1011.9,2,19,2,250,2,11,0.8,40000,999,2
2017-01-09 15:00:00,0,0,0,6.7,0,5.1,2.8,7.5,76,1011.6,2,18,2,250,2,11,0.2,40000,999,3
2017-01-09 16:00:00,0,0,0,5.8,0,4.6,2.9,7.5,82,1011.8,2,15,2,250,2,11,0,40000,999,3
2017-01-09 17:00:00,2,0,0,5.6,0,4.3,2.5,7.3,80,1011.5,2,14,2,250,25,81,0,25000,999,3
2017-01-09 18:00:00,0,0,0,5.5,0,4.4,2.7,7.5,83,1011.4,2,13,2,240,3,81,0,25000,40,7
